Организация,Ссылка,Адрес,Раздел,Категория,Тип,Отзывов,Заголовок,Отзыв,Тег,Оценка,Дата посещения,Дата отзыва,Количество лайков,Имя,Профиль,Количество подписок,Количество подписчиков,Количество публикаций,Количество блаодарностей,Критик уровня,Количество посещенных городов,Место проживания,Год регистрации
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Плохо,"Освещения в номере, чтобы вечером читать нет, т.к. лампочка в светильнике прикроватном перегорела, плафон отсутствует. Вода в душе еле бежит, на шторке что-то на подобиии грибка. Холодильник работает так шумно, что можно использовать в место будильника. Пульт от телевизора не работает, видимо сели батарейки. Ужас в общем.",,2,апрель 2017 г.,апр. 2017 г.,0,Игорь,https://www.tripadvisor.ru/Profile/bo4karev_igor,0,0,1,0,0,1,"Казань, Россия",апр. 2017 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Все замечательно!,"Была в Перми по работе. Остановилась в ""Прикамье"", все очень понравилось. Ночью не много шумно (с улицы), но это во всех крупных городах такая беда. Место очень удобное, транспорта много, есть где перекусить и выпить кофе (в самом отеле и рядом). В шаговой доступности ЦУМ с богатым выбором сувениров и несколько музеев.",,5,апрель 2017 г.,апр. 2017 г.,0,P7955JS_,https://www.tripadvisor.ru/Profile/P7955JS_,0,0,1,0,0,1,"Оренбург, Россия",апр. 2017 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Есть варианты и лучше,Из плюсов: цены ниже соседних отелей Из минусов: 1. Завтрак с 7:00. Для командировочных это поздно. Остаёшься голодным. Да и вообще меню местного бара не очень разнообразное. Хотя готовят там съедобно. Но опять же есть варианты и лучше. 2. Очень старая мебелировка. 3. Все крайне не продумано. В 21 веке телевизор должен работать. А в отеле не показывает ни один канал. С таким же успехом можно вообще его убрать. Холодильник работает как трактор ( пришлось вообще выключить). Китайские часы так же по громкости не дадут уснуть.,,2,апрель 2017 г.,отзыв апр. 2017,0,Никита Л,https://www.tripadvisor.ru/Profile/Coastal323499,0,0,1,1,0,20,"Москва, Россия",март 2012 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Понравилось,"Хорошая Гостиница и очень удобное расположение. Центр города все рядом, уютные номера тихо и спокойно. Бастро окажетесь в любой точке города. Приветливый персонал Камера хранения, все условия для позднего выезда .",,5,март 2017 г.,март 2017 г.,0,artem197722,https://www.tripadvisor.ru/Profile/artem197722,0,0,1,0,0,1,Московская область,март 2017 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Необходимо обновить мебель!,"Отель расположен в центре, в этом его основное преимущество. Заселение проходит очень быстро, персонал приветливый. Неудобство доставляет лестница, которая ведет к лифту - с чемоданом по ней очень не комфортно подниматься, не подойдет отель и для людей с маленькими детьми или на инвалидных колясках. Номер стандарт очень маленький. Видно, что недавно был проведен косметический ремонт. А вот на обновление мебели денег уже явно не хватило. Это какой-то тихий ужас! Ободрано все - стулья, шкаф, двери, косяки... Даже покрывало на кровати разошлось по шву и никто не обращает на это внимания. В номере стоит холодильник ""Саратов"", который пришлось сразу же выдернуть из розетки - очень шумный. Бонусом на столе еще стоял маленький будильник ""Луч"", который был спрятан подальше в шкаф, т.к. тоже тикал весьма громко. Окна выходили на дорогу, с открым окном не поспишь - шумят машины. Маленький санузел, в котором подтекал кран и капал желтой ржавчиной на край ванны. В наличии были фен, полотенца, мыло, шампунь и гель для душа. В номере есть чашка, чай, сахар. Кулер с водой стоит в коридоре на этаже. Завтраки очень посредственные, проходят в баре на 1 этаже. Ценник явно завышен. Второй раз не остановилась бы.",,3,март 2017 г.,отзыв март 2017,0,Nina S,https://www.tripadvisor.ru/Profile/ninas824,1,0,126,39,5,19,"Самара, Россия",май 2014 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Хорошая четыре,"Отдыхал с супругой 2 е суток. В целом хорошо, но цену можно и поменьше. Отдыхали летом, народу почти небыло. Еда так себе, лучше кушать отдельно или в баре. Персонал отличный, уютно но не идеально, за такие деньги можно и по лучше с меню например. Или акции на двоих на одни двое суток чаще делать. Итог четыре.",,4,март 2017 г.,отзыв февр. 2017,0,nELFIK n,https://www.tripadvisor.ru/Profile/nelfikn,0,0,1,0,0,1,,янв. 2017 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,В пятницу в ресторане не поужинать,"Хороший отель, уютный. Центр, красивый вид из окна. Тихо, тепло. Кулер в коридоре, чашка и чайные пакетики с сахаром в номере, очень приятный сюрприз. Проблема была только поужинать в пятницу вечером.. толпа народу, сесть негде. Могли бы для гостей отеля выделить закуток.",,4,январь 2017 г.,февр. 2017 г.,0,julfomenko,https://www.tripadvisor.ru/Profile/julfomenko,0,0,62,9,4,13,"Санкт-Петербург, Россия",февр. 2017 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Гость Перми с Алтая,"Хороший отель, персонал отличный. Минус, это нет курительной комнаты в -30 не очень приятно на улице стоять. Во многих отелях такого класса они есть и запаха не ощущается. Понравилось, есть гостевой компьютер.",,5,февраль 2017 г.,февр. 2017 г.,0,sklimi,https://www.tripadvisor.ru/Profile/sklimi,0,0,1,0,0,1,"Заринск, Россия",февр. 2017 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,"Отель напротив ""соленых ушей""","Неплохой отель в центре города. Конечно, ""советский душок"" присутствует, но в целом - очень мило. Кафе на этаже - так себе, не советую. А вот Ирландский паб совсем неплох: заказывала рыбу - очень хорошо приготовили. Есть бильярд, но это громко сказано - всего лишь комната с одним столом. Но нам, собственно один стол и был нужен! Номера вполне удобные, чистые, убирали регулярно. Отель понравился.",,4,июнь 2016 г.,февр. 2017 г.,0,ROVIMA26,https://www.tripadvisor.ru/Profile/ROVIMA26,0,0,110,49,5,23,"Снежинск, Россия",май 2016 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Отличная гостиница!,"Спасибо за отличный сервис и теплые номера. Были в декабре, когда температура ночью опускалась до -42. В номерах было очень тепло и уютно. В номере есть чай, одноразовые тапочки, хороший wi-fi и мыльные принадлежности. Единственное место где было холодно, это ирландский паб на первом этаже.",,5,декабрь 2016 г.,дек. 2016 г.,0,qvisi0n,https://www.tripadvisor.ru/Profile/qvisi0n,0,0,1,0,0,1,"Мытищи, Россия",дек. 2016 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Шляпа из 90-х,"Пожалуй у гостиницы только 2 плюса, отличное расположение и в принципе достаточно чисто. В остальном полная шляпа- прошлый век, гостиница замерла в 90-х годах. Причём это касается всего в том числе и персонал. Место отличное - центр, в шагах великое множество чудных заведений на разные вкусы, несколько крафтовых заведений. На первом этаже есть ирландский паб, кухня там так себе. Зато мешают отдыхать , до 1 ночи долбила Музыка. Завтраки типа шведский стол, но стола там нет, выбирать нечего. Персонал- все как бирюки ходят ( кроме ресепшн). Зачем то сидят 2 охранника, они спрятались за стойкой и видимо что-то там охраняют, даже смешно смотреть. Интерьер как в хрущевке , за такие деньги предлагать такое?! Теперь ясно почему огромная гостиница пуста. Больше не приеду",,2,декабрь 2016 г.,дек. 2016 г.,0,wdn0,https://www.tripadvisor.ru/Profile/wdn0,0,0,18,8,3,10,,апр. 2016 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,В хорошем месте хорошая гостиница,"Не первый раз останавливаюсь. Нравится все: и место и сервис. Есть стоянка для машин, правда, небольшая. Есть замечательный ресторанчик Шеймус: кусочек Ирландии с хорошей едой и пивом :). Персонал вежливый. Короче, достойное место!",,5,ноябрь 2016 г.,дек. 2016 г.,0,sbsapozhnikov,https://www.tripadvisor.ru/Profile/sbsapozhnikov,0,0,2,0,0,2,"Челябинск, Россия",дек. 2016 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Отель Прикамье - твердая 4!,"Данный отель приметил еще в прошлую поездку. Хорошее соотношение цена/качество. Завтраки вполне приемлемые как на первом этаже в ресторане, так и на втором в кафе. Удобные кровати и подушки. В номере чисто. Удобное местоположение. Рекомендую для остановки в деловых поездках",,4,октябрь 2016 г.,окт. 2016 г.,0,kalinkinmikhail,https://www.tripadvisor.ru/Profile/kalinkinmikhail,0,0,1,0,0,1,"Москва, Россия",окт. 2016 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Пытошная,"Если ваш руководитель решил сэкономить и отправить Вас в командировку с размещением в этом отеле, попросите его передумать. Сами такой выбор Вы, уверен, не сделаете... Просыпаться от хлопанья дверей в соседние номера - норма... Расположение унитаза в туалете - чудо советской инженерной мысли, ванная в туалете занимает больше 2/3 общего пространства, письменный стол не позволяет сесть т.к. коленки по счастливой случайности упираются в полку. Венец заботы о постояльцах - меню на завтраке. Повеоьте, я не привередлив, но эта гостиница испытание для любого, даже очень не искушенного постояльца. Удачи.",,2,октябрь 2016 г.,отзыв окт. 2016,0,Mike G,https://www.tripadvisor.ru/Profile/G220YEmikeg,0,0,28,8,4,17,"Санкт-Петербург, Россия",дек. 2012 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,"Лучше, чем ожидали","По фасаду -это старая ""советская"" гостиница, чего собственно от нее и ожидали. Большой плюс -достаточно бюджетное размещение и центр города. Администратор - приятная девушка, вежливая и улыбчивая, чего не скажешь об охранниках. Всем свои видом они демонстрировали неприязнь к гостям и крайнюю усталось от своей тяжелой работы. Номер на пятом этаже достаточно большой и светлый. Кондиционера нет, но благодаря открытому окну в номере свежо. На первый взгляд чисто, но потом обнаруживаются неприятности ввиде плохо пропылесошенного (местами протертого) ковролина и просто сумасшедшего количества пыли на тканевом абажуре светильника, стоящего прямо у подушки в изголовье кровати. Вероятно, этот абажур не чистили никогда с момента его появления в номере. Кровать удобная, постельное белье новое. Тут без вопросов. Ванная комната точно из советского прошлого. Сантехника старая и не очень чистая, пол прибран плохо, горячая вода из крана идет не сразу, а спустя некоторое количество времени. В целом гостиница отрабатывает свои три звезды, подходит для кратковременного проживания, но не более того.",,4,сентябрь 2016 г.,отзыв сент. 2016,0,Dasha P,https://www.tripadvisor.ru/Profile/dashap2016,0,0,51,79,4,8,"Москва, Россия",янв. 2016 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Очень приятный отель с внимательным персоналом.,"Останавливаюсь в Прикамье уже в третий раз. Цель поездок - служебная командировка. Во-первых, отель очень удобно расположен; во-вторых, на первом этаже есть гостевой компьютер с подключенным к нему принтером; в-третьих, персонал всегда очень вежлив и внимателен; в-четвертых, на первом этаже отеля располагается прекрасный бар-ресторан ""Шеймус"", где можно пообедать и поужинать. Прикамье - прекрасный выбор по соотношению цена-качество.",,4,август 2016 г.,авг. 2016 г.,0,_s694,https://www.tripadvisor.ru/Profile/_s694,0,0,5,2,2,2,Москва,май 2016 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Командировка в Пермь,Тихая гостиница в самом центре Перми. Умеренные цены. Часто езжу в командировки в Пермь и постоянно останавливаюсь здесь. Кстати у них очень удобный и информативный сайт. Есть тренажерный зал и конференц зал. Симпатичный ирландский паб на первом этаже.,,4,август 2016 г.,авг. 2016 г.,0,zakupuhk,https://www.tripadvisor.ru/Profile/zakupuhk,0,0,26,9,4,7,"Ижевск, Россия",июнь 2016 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Селитесь в четные номера,"Останавливался в данной гостинице второй раз. Гостиница класса 3 звездочки. По факту так и есть , честные 3 звезды. Останавливался в на 3 этаже в нечетном номере. В июне месяце. Беда нечетного номера в том, что он выходит на проспект по которому ездят машины и гоняют мотоциклисты. Закроешь окно-жарко, откроешь все слышно, что происходит род окнами и шум от транспорта, причем даже ночью. Брал номер стандарт с широкой кроватью. Номер неплохой, но везде отпечаток прошлого. Не совсем чтобы совдепия, но все не свежее. Телевизор, холодильник начала 2000-х. Безумно не понравились подушки. Вроде не большие, но набитые поролоном до отказа, мне было спать неудобно. Завтрак в стоимость номера не входит, но его можно включить в проживание. Завтракать лучше на 1 этаже в ресторане. Намного вкуснее, чем на 2-ом этаже в кафе, а по цене даже немного ниже. Удобное расположение гостиницы, в центре города. Недалеко хороший парк, можно прокатиться на колесе обозрения. Поставил бы гостинице 4-ку, но жара в номере и подушки снимают 1 балл.",,3,июнь 2016 г.,отзыв июнь 2016,0,Павел А,https://www.tripadvisor.ru/Profile/_R1953XL,0,0,326,30,6,47,"Санкт-Петербург, Россия",нояб. 2015 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Отель на недлительное времепребывание,"Останавливались несколько раз проездом. Номера не очень просторные, скромный дизайн, удобно расположен. На длительное время думаю не подходит, так только переночевать. Сейчас подыскиваю более комфортные отели, желательно включающие завтраки и ужины по возможности.",,3,июнь 2015 г.,май 2016 г.,0,marin-kapav,https://www.tripadvisor.ru/Profile/marin-kapav,0,0,9,3,1,4,,май 2015 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Вполне себе хороший отель,"Останавливался в этом отеле на сутки на период командировки в апреле 2016 года ! Очень приветливые администраторы. Поселился в стандарте с большой кроватью. Номер без излишеств, весьма простенький, но чистый. Порадовали полотенца - они незаюзанные! В номере чайный набор вместе с чаем двух видов: зеленый и черный Гринфилд! И с утра приносят не только новые мыльно-рыльные, но и чай))) В коридорах отеля весьма тихо. В номере нет кондиционера, поэтому не знаю как будет летом! Бронировал номер с завтраком. В пабе на первом этаже попросили за завтрак доплатить 40 рублей. НЕ понятно за что! и не меня одного! ((( Это минус. да и сам завтрак какой-то не очень внятный! Сам отель находится с центре города, все в шаговой доступности! Я бы скорее его рекомендовал, но без еды в нем. Рядом есть масса питейно-едальных заведений по весьма демократичным ценам!",,4,апрель 2016 г.,написал(а) отзыв апр.,0,Виктор Михайлов... Н,https://www.tripadvisor.ru/Profile/O8072WC_,0,0,5,10,2,4,,сент. 2015 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,"Просто, и всё.","Отель просто для жизни в командировке. Разместился, расположился, поспал, уехал, забыл. Насчет отдыха или путешествия - как временное пребывание ""без затей"". Кстати порадовали хорошие полотенца, такие нечасто встречаются. Спасибо!",,3,апрель 2016 г.,отзыв апр. 2016,0,Alexandre N,https://www.tripadvisor.ru/Profile/111alexandren,0,0,273,126,6,67,"Сочи, Россия",май 2014 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Неплохой отель.,"неплохой отель с хорошим расположением. ходила пешком везде, куда нужно. вполне уютно. Бала проездом один раз, все устроило, особенных нареканий нет. Хороший сервис и приветливый персонал. По цене доступно.",,4,апрель 2015 г.,отзыв март 2016,0,Марина А,https://www.tripadvisor.ru/Profile/G1491OM_,0,0,21,5,3,55,"Москва, Россия",июнь 2012 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Неплохой отель в центре города!,"Был в командировке в Перми!! Останавливался в гостинице Прикамье!!Неплохой отель, да совок, но со свежим ремонтом, чисто, уютно , новая мебель. Приемлемая цена!!Конечно можно и лучше! но будем надеятся",,4,февраль 2016 г.,отзыв февр. 2016,0,sergey z,https://www.tripadvisor.ru/Profile/429sergeyz,0,0,291,68,6,40,"Москва, Россия",май 2015 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Хороший отель в центре,"Выгодное расположение - несомненный плюс, до картинное галереи идти минут 10 прогулочным шагом! Что еще радует - в номерах есть все необходимое, чисто, есть тренажерный зал и библиотека на третьем этаже.",,5,февраль 2016 г.,февр. 2016 г.,0,zakharovavika,https://www.tripadvisor.ru/Profile/zakharovavika,1,0,392,75,6,150,"Екатеринбург, Россия",окт. 2013 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Сравнение с Уралом,"Очень приветливые девушке на ресепшене!!! Оформили быстро, выдали дисконтную карту! Номер простой, с шумоизоляцией не важно! Мало розеток, немного не удобно! Завтракал в пабе, вкусно но однообразно, меню одно и тоже!!! Зашёл в кафе на втором этаже, простенько, выбор не большой. Удобное месторасположение гостиницы. Бесплатная парковка.",,3,февраль 2016 г.,февр. 2016 г.,0,Aviator211,https://www.tripadvisor.ru/Profile/Aviator211,3,2,343,97,6,41,"Уфа, Россия",авг. 2014 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Ничего хорошего,"Останавливалась на сутки там во время командировки. Отель посредственный. Денег своих (2700 за стандарт) не стоит. Пахнет в номере не то сыростью, не то пылью. Одеяло прокуренное! Пахло так, что невозможно накрываться. Сама постель чистая-поспать я там смогла. Телевизор со времен начала 90х. Очень проблемно было у бухгалтерии забрать акт оказания услуг. Дождалась его через 2 недели по электронке. Единственный плюс, там есть ирландский паб (в котором ночью, кстати, очень шумно, но в номере не слышно), где с утра прекрасные круассаны с йогуртом.",,2,март 2015 г.,отзыв февр. 2016,0,Гелия В,https://www.tripadvisor.ru/Profile/U5927UG_,0,0,5,5,2,23,,февр. 2016 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,"Дорогой номер, но грязный","Останавливались в отеле в дни рождественских каникул 2016 г. Взяли один из самых дорогих номеров - студию. В номере пахнет пылью. Занавески пыльные. Пол в санузле грязный, особенно за унитазом. Там что убирать не надо! После первого дня проживания была уборка номера. Такое впечатление, что меняют только полотенца и пылесосят номер. На полу в санузле были волосы после уборки. Горничным в отеле большой минус! На первом этаже Sheamus, ирландский паб, где можно позавтракать, под столами очень пыльно и грязно!",,3,январь 2016 г.,янв. 2016 г.,0,Irinafss,https://www.tripadvisor.ru/Profile/Irinafss,0,0,7,2,2,5,"Самара, Россия",июль 2015 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Достойный за свою цену,Отель в центре города. и За эти деньги лучше в этом районе не нашел. Возможность полупансиона. Выдают талоны на питание на определенную сумму. Причем отоваривать можно и в своей столовой и в пабе на первом этаже. номера в общем-то стандартные. Небольшие. но все чистенько и в хорошем состоянии.,,4,январь 2015 г.,дек. 2015 г.,0,56sergey,https://www.tripadvisor.ru/Profile/56sergey,1,0,72,19,4,16,"Екатеринбург, Россия",июнь 2014 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,был там в командировке,"Отель забавен скажу я Вам... Не зря его Елена Летучая проинспектировала, но... мне кажется мало что изменилось... Итак начнем со входе... ступени не освещены, я прибыл в Пермь вечером. Потом посетителю придется ощутить на себе тяготы скалолаза: так после входа в гостиницу, чтобы попасть к стойке регистрации стоит снова подняться на несколько ступеней... Но вот после Вас ожидает очередное испытание: теперь Вам предстоит спуститься на те несколько ступеней, о которых шла речь ранее, и СНОВА поднЯться но уже на большее число ступеней. Теперь про номер: в целом, не плохо, чистенький, аккуратненький, НО вот шкаф заслуживает большего внимания - КРАЙНЕ маленький узкий и при ширине дверей сантиметров в 60, внутри гораздо уже, в ванной комнате 3 полотенца, шампунь/гель для душа/мыло. Что меня поразило: 1. Чтобы принять душ стоит ОЧЕНЬ продолжительное время спускать воду. После вселения хотел принять в душ... некоторое время сливал воду, но решил, что горячей воды просто нет. Обратился к администратору отеля, которая в первую очередь поинтересовалась в ту ли я сторону повернул кран. После некоторых усилий оказалось, мало времени сливал воду. 2. На следующий день я немного приболел и днем находился в номере. Так вот приняв лекарство, в мой номер просто ВВАЛИЛСЯ сотрудник отеля (стукнул в дверь и не дождавшись ответа вошёл), который сразу ретировался увидев меня в номере. Через время ситуация повторилась. Я не выдержал и позвонил администратору и узнал, что ночью по моему обращению они создали заявку на решение проблему с водой. Но факт остается фактом - НЕОБХОДИМО выяснить, есть ли постоялец в номере или нет. 3. На второе утро я сделал для себя очередное открытие - в кране вообще не было воды. И это утром!!! пришлось отправиться на завтрак и приобрести там питьевую не газированную воду, чтобы хотя бы элементарно умыться. Когда я вернулся с работы в гостиницу, мне пояснили, что в городе была авария, а у них нет емкости для хранения воды. И со слов администратора: мне необходимо было вооружиться стаканом (объем 150 мл) из номера и набрать в диспенсере воду. Остается только вопрос: сколько же раз и в каком виде я должен был курсировать между своей ванной комнатой и диспенсером в коридоре отеля. После моих недоумений администратор всё-таки принесла извинения. 4. Завтраки: По меню в буфете (2 этаж) или ресторане отеля (1 этаж - требует зарядки ног - вспомните ступень к стойке регистрации) на сумму талончика в 200 рублей. Данной суммы вполне достаточно для легкого завтрака. Ну вроде всё... Хотя, имею на руках подаренную дисконтную карту при заселении, мало вероятно очередное посещение данного отеля.",,3,сентябрь 2015 г.,отзыв дек. 2015,0,Олег Б,https://www.tripadvisor.ru/Profile/_U8921SB,0,0,229,30,6,75,"Балтийск, Россия",дек. 2015 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Достойный недорогой отель,"Часто бываю в данной гостинице, когда приезжаю в Пермь. Гостиница нравится, номера чистые, в пешей доступности все достопримечательности центра города. На завтрак и ужин дают купон, который можно использовать в пабе ""Шеймус"". качество гостиницы полностью соответствует цене. Единственное, рекомендовал не брать номера с окнами на КомПрос, особенно летом, мотоциклисты, стритрейсеры любят кататься по КомПросу.",,4,июль 2015 г.,отзыв дек. 2015,0,Илья К,https://www.tripadvisor.ru/Profile/ilyakowalski,0,0,226,125,6,25,"Набережные Челны, Россия",июль 2014 г.
Прикамье Prikamie,https://www.tripadvisor.ru/Hotel_Review-g298516-d1200106-Reviews-Prikamie-Perm_Perm_Krai_Volga_District.html,"Комсомольский проспект, д. 27, Пермь 614045 Россия",Отели,Отели,Отели,228,Отличный средний выбор. Есть плюсы!,"Отель среднего уровня, но за многолетнюю практику поездок в пермь остановился именно на этом отеле: 1. Есть спорт зал! Свободный, нормальный, просторный. Почему-то большинство пермских отелей закрыло залы, а в хилтоне он не прилично мал и всегда занят. 2. Питание! Отель предоставляет полупансион (даже по безналу) в ирландском пабе Шеймус. Шикарная кухня, отличное пиво, высокий уровень заведения! Вход прямо из отеля. Дают карточки на 900 руб в сутки (полупансион) - кушай когда тебе угодно. 3. Цена и расположение. В отличии от всех отелей в центре просторный номер с большой кроватью обойдется дешевле на 1000 (как раз на хорошее питание).",,4,ноябрь 2015 г.,отзыв дек. 2015,0,Алексей М,https://www.tripadvisor.ru/Profile/_V961CF,0,0,354,72,6,24,,июнь 2012 г.
